Unnamed: 0,Ticker,Name,Last,SectorCode,IndCode,Price,MktCap,Vol3MAvg,Pr52W%Chg,Pr4W%Chg,Pr4WRel%ChgInd,Pr4WRel%Chg,Yield,PEExclXorPTM,PEG,PERelative,ProjPECurFY,ProjPENextFY,Pr2BookQ,Pr2NetFrCashFlTTM,Pr2SalesTTM
291,RCM:USA 3M 1Y 3YRCM:USA3M1Y3Y Customize...,R1 RCM INC,19.83,HEALTHCARE,HCARESUPPORT,19.83,5539.03,25.19,-10.96,-8.74,0.07,-2.68,0.0,,1.48,,33.47,26.21,17.37,30.56,4.19
292,RDFN:USA 3M 1Y 3YRDFN:USA3M1Y3Y Customize...,Redfin Corp,7.79,FINANCIAL,REALESTATESVCE,7.79,833.73,64.72,-86.73,-27.33,-3.09,-21.27,0.0,,,,,,3.53,,0.37
293,RDN:USA 3M 1Y 3YRDN:USA3M1Y3Y Customize...,Radian Group Inc,18.41,FINANCIAL,INSURANCE,18.41,3215.27,31.52,-19.43,-12.79,1.28,-6.73,4.35,11.82,,3.32,5.28,5.62,0.79,8.42,2.55
294,RDWR:USA 3M 1Y 3YRDWR:USA3M1Y3Y Customize...,Radware Ltd,21.74,TECH,COMMEQUIP,21.74,1008.45,4.79,-28.53,-9.76,0.96,-3.7,0.0,115.86,23.48,11.36,25.21,20.61,2.9,107.47,3.49
295,RE:USA 3M 1Y 3YRE:USA3M1Y3Y Customize...,Everest Re Group Ltd,269.12,FINANCIAL,INSURANCE,269.12,10616.43,5.01,10.49,-2.61,1.28,3.45,2.45,12.54,0.56,1.22,7.97,6.54,1.1,2.68,0.87
296,REAL:USA 3M 1Y 3YREAL:USA3M1Y3Y Customize...,RealReal Inc (The),2.59,NONCYCLICAL,GENMERCH,2.59,244.24,94.75,-87.43,-22.46,0.27,-16.4,0.0,,,,,,,,0.47
297,REG:USA 3M 1Y 3YREG:USA3M1Y3Y Customize...,Regency Centers Corp.,57.62,FINANCIAL,REIT,57.62,9849.31,20.41,-11.96,-10.26,-1.94,-4.2,4.34,72.65,1.77,-1.65,29.87,28.66,1.61,181.37,8.51
298,REV:USA 3M 1Y 3YREV:USA3M1Y3Y Customize...,Revlon Inc.,3.73,NONCYCLICAL,PERSONALCAREPRODUCT,3.73,218.84,125.06,-73.6,-12.03,0.36,-5.97,0.0,,,,,,,24.39,0.1
299,REXR:USA 3M 1Y 3YREXR:USA3M1Y3Y Customize...,Rexford Industrial Realty Inc,57.06,FINANCIAL,REIT,57.06,9415.9,30.09,-3.09,-9.51,-1.94,-3.46,2.21,92.09,,16.9,56.38,56.84,1.86,437.61,18.0
300,REYN:USA 3M 1Y 3YREYN:USA3M1Y3Y Customize...,Reynolds Consumer Products Inc,24.68,NONCYCLICAL,PRODHOUSEIND,24.68,5182.8,8.21,-17.76,-8.15,-2.9,-2.09,3.73,16.01,,,15.37,14.01,2.93,,1.42
301,REZI:USA 3M 1Y 3YREZI:USA3M1Y3Y Customize...,Resideo Technologies Inc,19.89,TECH,TECHDISTRIB,19.89,2891.45,14.1,-33.83,-14.08,0.44,-8.02,0.0,37.96,,,8.36,7.31,1.25,15.74,0.5
302,RF:USA 3M 1Y 3YRF:USA3M1Y3Y Customize...,Regions Financial Corp,18.7,FINANCIAL,BANKSUSA,18.7,17445.1,176.0,-5.84,-6.59,4.64,-0.53,3.64,14.93,8.52,12.59,8.42,7.73,1.16,16.03,2.69
303,RGA:USA 3M 1Y 3YRGA:USA3M1Y3Y Customize...,Reinsurance Group of America Inc.,110.82,FINANCIAL,INSURANCE,110.82,7423.64,7.69,-4.31,-8.83,1.28,-2.77,2.63,13.37,,82.08,11.07,7.33,0.81,4.21,0.45
304,RGEN:USA 3M 1Y 3YRGEN:USA3M1Y3Y Customize...,Repligen Corp,142.75,HEALTHCARE,HCAREMISC,142.75,7912.5,11.27,-27.22,-7.68,-2.71,-1.62,0.0,121.14,1.63,3.39,46.14,40.17,4.75,226.19,11.44
305,RGLD:USA 3M 1Y 3YRGLD:USA3M1Y3Y Customize...,Royal Gold Inc,108.93,MATERIALS,ORE,108.93,7142.41,11.37,-1.18,-6.03,-1.85,0.03,1.29,29.17,2.77,1.05,27.96,24.47,2.72,,10.62
306,RGR:USA 3M 1Y 3YRGR:USA3M1Y3Y Customize...,Sturm Ruger & Co Inc.,62.41,INDUSTRIAL,AERODEF,62.41,1100.5,2.84,-25.91,-0.91,0.14,5.15,4.36,11.38,,-0.85,10.77,11.47,2.94,16.49,1.56
307,RH:USA 3M 1Y 3YRH:USA3M1Y3Y Customize...,RH,245.44,CYCLICALS,HOMEIMPROVE,245.44,6052.99,25.04,-63.94,-11.19,-4.04,-5.14,0.0,49.29,0.84,-0.25,9.06,9.5,5.22,13.47,1.82
308,RHI:USA 3M 1Y 3YRHI:USA3M1Y3Y Customize...,Robert Half International Inc.,76.84,BIZSVCE,PROSVCE,76.84,8509.8,20.4,-12.62,-13.59,0.01,-7.53,2.24,30.26,1.27,15.93,12.14,11.34,5.85,21.87,1.24
309,RHP:USA 3M 1Y 3YRHP:USA3M1Y3Y Customize...,Ryman Hospitality Properties Inc,76.32,FINANCIAL,REIT,76.32,4159.29,8.85,-7.86,-12.25,-1.94,-6.19,0.0,,0.54,,42.11,21.0,,28.09,3.64
310,RIDE:USA 3M 1Y 3YRIDE:USA3M1Y3Y Customize...,Lordstown Motors Corp,1.65,CYCLICALS,VEHICLE,1.65,324.05,164.13,-83.61,-29.79,-2.89,-23.73,0.0,,,,,,0.71,,
311,RIG:USA 3M 1Y 3YRIG:USA3M1Y3Y Customize...,Transocean Ltd,3.52,ENERGY,OILGASSUPPORT,3.52,2397.31,401.26,-16.39,-11.78,-2.54,-5.72,0.0,,,,,,0.21,10.48,0.94
312,RJF:USA 3M 1Y 3YRJF:USA3M1Y3Y Customize...,Raymond James Financial Inc.,87.5,FINANCIAL,INVESTSVCE,87.5,18191.02,28.05,2.37,-4.41,5.55,1.65,1.55,18.08,,25.4,11.72,9.03,2.17,1.48,1.74
313,RKT:USA 3M 1Y 3YRKT:USA3M1Y3Y Customize...,Rocket Cos Inc,6.37,FINANCIAL,BANKSMORTG,6.37,762.02,96.9,-66.86,-29.14,1.36,-23.08,0.0,0.48,4.04,,16.47,7.93,22.99,1.24,1.53
314,RL:USA 3M 1Y 3YRL:USA3M1Y3Y Customize...,Ralph Lauren Corp,89.71,CYCLICALS,APPARELPRODUCTS,89.71,6270.73,22.1,-22.28,-2.58,1.66,3.48,3.34,,1.2,3.12,10.69,9.42,2.56,16.3,1.05
315,RLI:USA 3M 1Y 3YRLI:USA3M1Y3Y Customize...,RLI Corp,109.68,FINANCIAL,INSURANCE,109.68,4970.25,3.51,5.69,-6.86,1.28,-0.8,2.77,17.72,,8.29,24.85,26.38,4.35,22.95,4.33
316,RLJ:USA 3M 1Y 3YRLJ:USA3M1Y3Y Customize...,RLJ Lodging Trust,11.05,FINANCIAL,REIT,11.05,1843.62,36.94,-29.3,-16.67,-1.94,-10.61,0.36,,1.01,,120.24,21.18,0.89,35.98,2.0
317,RLMD:USA 3M 1Y 3YRLMD:USA3M1Y3Y Customize...,Relmada Therapeutics Inc,18.3,HEALTHCARE,BIOPHARMASYS,18.3,538.07,5.79,-40.87,-9.27,2.32,-3.21,0.0,,,,,,2.47,,
318,RMBS:USA 3M 1Y 3YRMBS:USA3M1Y3Y Customize...,Rambus Inc,20.92,TECH,SOFTW,20.92,2306.13,19.8,-7.31,-14.86,-1.68,-8.8,0.0,,1.36,,13.29,12.65,2.9,11.27,6.44
319,RMD:USA 3M 1Y 3YRMD:USA3M1Y3Y Customize...,Resmed Inc,197.57,HEALTHCARE,MEDDEVICESOTHER,197.57,28897.79,12.21,-17.51,-0.01,-3.2,6.05,0.85,62.28,2.1,11.24,34.21,29.3,8.86,281.83,8.2
320,RNG:USA 3M 1Y 3YRNG:USA3M1Y3Y Customize...,RingCentral Inc,52.23,TECH,SOFTW,52.23,4956.54,35.66,-81.83,-19.32,-1.68,-13.26,0.0,,1.0,,28.17,21.85,101.26,,2.89
321,RNR:USA 3M 1Y 3YRNR:USA3M1Y3Y Customize...,RenaissanceRe Holdings Ltd,148.94,FINANCIAL,INSURANCE,148.94,6582.07,6.55,3.06,-0.75,1.28,5.31,0.99,14.75,0.02,,9.23,6.68,1.2,5.89,1.22
322,RNST:USA 3M 1Y 3YRNST:USA3M1Y3Y Customize...,Renasant Corp,28.23,FINANCIAL,BANKSUSA,28.23,1577.51,5.21,-31.06,-4.85,4.64,1.21,3.12,17.82,,14.28,10.55,9.68,0.74,,2.43
323,ROAD:USA 3M 1Y 3YROAD:USA3M1Y3Y Customize...,Construction Partners inc,19.54,INDUSTRIAL,FACIL,19.54,1026.73,5.69,-35.83,-13.69,-1.28,-7.63,0.0,44.86,1.42,83.38,52.11,26.65,2.44,,0.95
324,ROCK:USA 3M 1Y 3YROCK:USA3M1Y3Y Customize...,Gibraltar Industries Inc,40.6,MATERIALS,MATCONSTR,40.6,1372.24,5.17,-45.55,6.67,-0.97,12.73,0.0,40.76,0.8,6.27,12.4,10.73,1.6,1643.0,0.98
325,ROG:USA 3M 1Y 3YROG:USA3M1Y3Y Customize...,Rogers Corp.,259.38,MATERIALS,CHEMSPECIAL,259.38,4877.12,3.61,35.85,1.03,-4.23,7.09,0.0,54.01,,6.41,42.18,,4.41,,5.18
326,ROIC:USA 3M 1Y 3YROIC:USA3M1Y3Y Customize...,Retail Opportunity Investments Corp,15.38,FINANCIAL,REIT,15.38,1903.0,25.08,-14.51,-10.43,-1.94,-4.37,3.38,75.63,,22.35,47.26,40.11,1.57,25.64,6.92
327,ROK:USA 3M 1Y 3YROK:USA3M1Y3Y Customize...,Rockwell Automation Inc.,191.09,INDUSTRIAL,MACHINE,191.09,22223.77,21.19,-31.83,-3.84,-0.2,2.22,2.34,19.47,2.05,32.86,20.41,17.28,8.5,261.41,3.06
328,ROKU:USA 3M 1Y 3YROKU:USA3M1Y3Y Customize...,Roku Inc,82.42,CONSUMERSVCE,MEDIAPUB,82.42,11206.73,149.04,-78.47,-14.92,-6.02,-8.86,0.0,390.68,,,,,3.97,55.9,3.82
329,ROL:USA 3M 1Y 3YROL:USA3M1Y3Y Customize...,ROLLINS INC,31.78,BIZSVCE,BIZSUPPORT,31.78,15650.4,31.06,-5.78,-7.43,0.43,-1.37,1.51,59.09,,9.38,43.89,40.14,14.13,126.16,6.31
330,ROLL:USA 3M 1Y 3YROLL:USA3M1Y3Y Customize...,RBC Bearings Inc,178.41,MATERIALS,METAL,178.41,5152.28,3.04,-9.23,13.19,-3.1,19.25,0.0,52.35,1.78,93.92,30.46,25.7,2.17,35.9,5.46
331,ROOT:USA 3M 1Y 3YROOT:USA3M1Y3Y Customize...,Root Inc,1.26,FINANCIAL,INSURANCE,1.26,318.53,58.68,-88.08,-5.97,1.28,0.09,0.0,,,,,,0.59,,0.91
332,ROP:USA 3M 1Y 3YROP:USA3M1Y3Y Customize...,Roper Technologies Inc,374.71,TECH,SOFTW,374.71,39686.53,13.59,-18.24,-9.31,-1.68,-3.25,0.66,47.13,2.25,55.64,24.18,22.35,2.95,24.62,6.57
333,ROST:USA 3M 1Y 3YROST:USA3M1Y3Y Customize...,Ross Stores Inc,74.76,NONCYCLICAL,GENMERCH,74.76,26190.45,81.32,-37.39,-19.35,0.27,-13.29,1.66,48.29,1.46,-0.36,16.78,14.26,6.43,,1.39
334,RPM:USA 3M 1Y 3YRPM:USA3M1Y3Y Customize...,RPM International Inc,75.2,MATERIALS,CHEMSPECIAL,75.2,9738.1,13.09,-15.6,-11.15,-4.23,-5.09,2.13,26.13,2.02,19.98,20.32,17.04,5.32,,1.51
335,RPRX:USA 3M 1Y 3YRPRX:USA3M1Y3Y Customize...,Royalty Pharma plc,39.35,HEALTHCARE,BIOPHARMAOTHER,39.35,17129.68,47.48,-8.66,-1.08,-1.84,4.98,1.93,15.54,,,13.26,11.68,4.14,,10.49
336,RPT:USA 3M 1Y 3YRPT:USA3M1Y3Y Customize...,RPT Realty,9.63,FINANCIAL,REIT,9.63,810.48,10.98,-27.76,-17.55,-1.94,-11.49,5.4,,,8.04,,,1.04,14.46,3.75
337,RRC:USA 3M 1Y 3YRRC:USA3M1Y3Y Customize...,Range Resources Corp.,26.29,ENERGY,FOSSILFUEL,26.29,6629.71,102.07,79.33,-6.51,2.26,-0.45,0.0,,0.21,,5.36,5.31,4.03,9.48,1.61
338,RRR:USA 3M 1Y 3YRRR:USA3M1Y3Y Customize...,Red Rock Resorts Inc,33.05,CONSUMERSVCE,HOSPITALITY,33.05,2031.65,15.72,-20.34,-8.52,-0.05,-2.47,3.03,,,-1.79,14.62,13.93,40.54,10.75,2.14
339,RRX:USA 3M 1Y 3YRRX:USA3M1Y3Y Customize...,Regal Rexnord Corporation,110.27,INDUSTRIAL,ELECTREQUIP,110.27,7388.09,9.09,-15.07,-9.84,-0.89,-3.78,1.27,28.37,1.03,46.0,10.48,9.5,1.17,,1.74
340,RS:USA 3M 1Y 3YRS:USA3M1Y3Y Customize...,Reliance Steel & Aluminum Co,170.1,MATERIALS,METAL,170.1,10537.36,9.41,10.81,-4.86,-3.1,1.2,2.06,18.05,,1.68,5.93,7.86,1.64,18.01,0.68
341,RSG:USA 3M 1Y 3YRSG:USA3M1Y3Y Customize...,Republic Services Inc.,120.73,BIZSVCE,WASTEMGMT,120.73,38126.53,26.41,11.34,-5.32,0.01,0.74,1.52,35.23,2.35,54.17,25.74,23.16,4.26,40.36,3.28
342,RTX:USA 3M 1Y 3YRTX:USA3M1Y3Y Customize...,Raytheon Technologies Corp,88.88,INDUSTRIAL,AERODEF,88.88,132183.67,109.52,1.0,-1.52,0.14,4.54,2.48,,1.75,29.27,18.61,15.33,1.84,104.75,2.05
343,RUN:USA 3M 1Y 3YRUN:USA3M1Y3Y Customize...,Sunrun Inc,23.83,UTIL,ENERGYUTIL,23.83,4990.41,149.87,-52.48,2.01,-1.39,8.07,0.0,,,,,,0.79,,2.81
344,RUTH:USA 3M 1Y 3YRUTH:USA3M1Y3Y Customize...,Ruth's Hospitality Group Inc,17.02,CONSUMERSVCE,HOSPITALITY,17.02,571.66,6.36,-25.77,-4.17,-0.05,1.89,3.29,,,24.22,12.54,10.54,4.05,15.02,1.23
345,RVLV:USA 3M 1Y 3YRVLV:USA3M1Y3Y Customize...,Revolve Group Inc,28.55,CYCLICALS,APPARELRETAIL,28.55,2092.68,26.94,-54.43,3.52,-0.07,9.58,0.0,46.75,1.67,,22.64,17.77,6.27,26.57,2.14
346,RWT:USA 3M 1Y 3YRWT:USA3M1Y3Y Customize...,Redwood Trust Inc.,7.01,FINANCIAL,REIT,7.01,843.23,38.86,-43.19,-26.9,-1.94,-20.84,13.12,3.53,,5.77,6.43,4.89,0.68,,1.38
347,RXT:USA 3M 1Y 3YRXT:USA3M1Y3Y Customize...,Rackspace Technology Inc,6.48,TECH,TECHCONSULTSVCE,6.48,1376.35,18.96,-67.01,-30.32,-2.94,-24.26,0.0,,0.98,,8.54,6.46,1.02,4.5,0.45
348,RYN:USA 3M 1Y 3YRYN:USA3M1Y3Y Customize...,Rayonier Inc.,36.15,FINANCIAL,REIT,36.15,5281.79,12.56,5.09,-5.44,-1.94,0.62,3.15,240.28,,6.54,55.27,57.76,2.94,60.26,6.36
349,SABR:USA 3M 1Y 3YSABR:USA3M1Y3Y Customize...,Sabre Corp,6.01,INDUSTRIAL,TRAINTRUCK,6.01,1961.11,170.12,-57.19,-14.75,-2.27,-8.69,0.0,,,,,,,,1.26
350,SAFE:USA 3M 1Y 3YSAFE:USA3M1Y3Y Customize...,Safehold Inc,34.84,FINANCIAL,REIT,34.84,2158.06,4.57,-55.57,-14.8,-1.94,-8.74,2.03,59.21,,-0.03,20.57,18.81,1.01,104.47,10.1
351,SAFM:USA 3M 1Y 3YSAFM:USA3M1Y3Y Customize...,Sanderson Farms Inc,208.31,NONCYCLICAL,AGRICULTURE,208.31,4649.52,5.22,25.05,10.96,-7.58,17.02,0.84,21.76,,0.22,4.45,7.02,1.95,5.94,0.82
352,SAFT:USA 3M 1Y 3YSAFT:USA3M1Y3Y Customize...,Safety Insurance Group Inc,89.28,FINANCIAL,INSURANCE,89.28,1316.15,1.46,12.61,3.75,1.28,9.81,4.03,7.41,,38.29,21.49,18.98,1.53,24.42,1.54
353,SAH:USA 3M 1Y 3YSAH:USA3M1Y3Y Customize...,Sonic Automotive Inc.,36.53,CYCLICALS,AUTORETAIL,36.53,1481.13,8.73,-18.02,-15.85,-2.11,-9.79,2.74,10.71,,-0.24,3.57,3.94,1.35,2.44,0.12
354,SAIA:USA 3M 1Y 3YSAIA:USA3M1Y3Y Customize...,Saia Inc,171.86,INDUSTRIAL,TRAINTRUCK,171.86,4538.55,11.11,-16.95,-6.8,-2.27,-0.74,0.0,42.33,0.69,12.01,13.18,12.66,3.55,41.24,1.86
355,SAIC:USA 3M 1Y 3YSAIC:USA3M1Y3Y Customize...,Science Applications International Corp,85.53,INDUSTRIAL,AERODEF,85.53,4789.68,7.81,-7.64,5.57,0.14,11.63,1.73,21.71,,22.09,12.09,11.35,2.95,14.67,0.64
356,SAIL:USA 3M 1Y 3YSAIL:USA3M1Y3Y Customize...,SailPoint Technologies Holdings Inc,61.17,TECH,SOFTW,61.17,5765.46,100.55,22.36,-1.43,-1.68,4.63,0.0,,,,,,14.83,,12.39
357,SAM:USA 3M 1Y 3YSAM:USA3M1Y3Y Customize...,Boston Beer Co Inc. (The),296.69,NONCYCLICAL,FOODDRINKMFR,296.69,3644.13,3.21,-69.91,-9.87,3.06,-3.81,0.0,66.54,,,23.41,17.84,3.71,,1.88
358,SANM:USA 3M 1Y 3YSANM:USA3M1Y3Y Customize...,Sanmina Corp,39.46,TECH,ELECTRONICEQUIP,39.46,2398.65,9.76,1.6,-7.8,1.26,-1.74,0.0,14.69,0.61,22.85,8.68,7.97,1.38,10.47,0.36
359,SASR:USA 3M 1Y 3YSASR:USA3M1Y3Y Customize...,Sandy Spring Bancorp Inc,39.04,FINANCIAL,BANKSUSA,39.04,1763.16,3.13,-12.21,0.0,4.64,6.06,3.48,14.04,,14.57,10.15,9.71,1.19,20.36,3.3
360,SATS:USA 3M 1Y 3YSATS:USA3M1Y3Y Customize...,EchoStar Corp,19.66,TELECOM,TELECOMOTHER,19.66,1677.66,7.75,-26.97,-11.04,-0.97,-4.98,0.0,27.24,,,11.2,40.56,0.49,7.77,0.84
361,SAVE:USA 3M 1Y 3YSAVE:USA3M1Y3Y Customize...,Spirit Airlines Inc,21.28,INDUSTRIAL,PASSENGERTRANS,21.28,2311.41,96.02,-37.56,11.47,-9.3,17.53,0.0,,,,,12.34,1.2,,0.62
362,SBAC:USA 3M 1Y 3YSBAC:USA3M1Y3Y Customize...,SBA Communications Corp,292.04,FINANCIAL,REIT,292.04,31483.67,14.65,-9.06,-8.48,-1.94,-2.42,0.97,230.72,9.17,-0.88,63.83,59.95,,40.87,13.44
363,SBCF:USA 3M 1Y 3YSBCF:USA3M1Y3Y Customize...,Seacoast Banking Corp of Florida,32.62,FINANCIAL,BANKSUSA,32.62,1997.61,6.31,-5.8,1.43,4.64,7.49,2.08,18.66,,36.43,15.71,12.7,1.48,146.06,5.55
364,SBGI:USA 3M 1Y 3YSBGI:USA3M1Y3Y Customize...,Sinclair Broadcast Group Inc,19.23,CONSUMERSVCE,MEDIAPUB,19.23,1378.98,15.53,-41.35,-25.44,-6.02,-19.38,5.2,,,-0.37,0.6,75.74,1.81,3.04,0.23
365,SBH:USA 3M 1Y 3YSBH:USA3M1Y3Y Customize...,Sally Beauty Holdings Inc,12.24,NONCYCLICAL,PERSONALCARERETAIL,12.24,1308.82,32.29,-37.04,-10.26,4.1,-4.2,0.0,20.26,,10.26,5.33,4.92,4.98,8.71,0.35
366,SBNY:USA 3M 1Y 3YSBNY:USA3M1Y3Y Customize...,Signature Bank,171.68,FINANCIAL,BANKSUSA,171.68,10827.02,22.41,-30.53,-9.16,4.64,-3.1,1.3,21.79,0.61,15.92,7.76,6.43,1.3,11.77,4.32
367,SBRA:USA 3M 1Y 3YSBRA:USA3M1Y3Y Customize...,Sabra Health Care REIT Inc,14.03,FINANCIAL,REIT,14.03,3240.3,55.61,-21.22,5.57,-1.94,11.63,8.55,26.92,,,21.66,19.83,0.97,39.62,5.46
368,SBUX:USA 3M 1Y 3YSBUX:USA3M1Y3Y Customize...,Starbucks Corp,71.87,CONSUMERSVCE,HOSPITALITY,71.87,82427.71,224.63,-35.23,-0.08,-0.05,5.98,2.73,137.28,1.83,1.79,24.83,20.71,,27.77,2.65
369,SCCO:USA 3M 1Y 3YSCCO:USA3M1Y3Y Customize...,Southern Copper Corp,55.45,MATERIALS,ORE,55.45,42868.06,26.36,-10.07,-4.74,-1.85,1.32,9.02,25.32,,-3.33,13.11,13.71,5.25,62.81,3.84
370,SCHL:USA 3M 1Y 3YSCHL:USA3M1Y3Y Customize...,Scholastic Corp,35.42,CONSUMERSVCE,MEDIAPUB,35.42,1221.99,2.7,-8.02,-1.09,-6.02,4.97,1.69,,,,,,1.04,10.17,0.8
371,SCHN:USA 3M 1Y 3YSCHN:USA3M1Y3Y Customize...,Schnitzer Steel Industries Inc,35.18,MATERIALS,METAL,35.18,972.13,6.31,-27.06,-4.97,-3.1,1.09,2.13,19.39,,0.9,4.91,5.83,1.16,20.94,0.32
372,SCHW:USA 3M 1Y 3YSCHW:USA3M1Y3Y Customize...,Schwab (Charles) Corp,59.99,FINANCIAL,INVESTSVCE,59.99,108948.78,187.41,-17.53,-4.26,5.55,1.8,1.33,31.53,0.7,44.45,15.46,11.9,3.06,5.7,6.02
373,SCI:USA 3M 1Y 3YSCI:USA3M1Y3Y Customize...,Service Corp International,64.08,NONCYCLICAL,HOUSESVCE,64.08,10199.24,20.18,21.8,-4.73,3.09,1.33,1.56,14.81,6.92,5.86,18.2,18.47,5.7,21.61,2.51
374,SCL:USA 3M 1Y 3YSCL:USA3M1Y3Y Customize...,Stepan Co,95.78,MATERIALS,CHEMSPECIAL,95.78,2568.2,1.65,-23.43,-10.89,-4.23,-4.83,1.4,22.86,,-13.82,14.08,12.81,1.99,,0.89
375,SCS:USA 3M 1Y 3YSCS:USA3M1Y3Y Customize...,Steelcase Inc.,10.35,NONCYCLICAL,PRODHOUSEIND,10.35,1160.33,16.36,-28.22,-14.11,-2.9,-8.05,5.6,65.31,1.75,84.11,17.48,9.88,1.41,,0.43
376,SCVL:USA 3M 1Y 3YSCVL:USA3M1Y3Y Customize...,Shoe Carnival Inc,25.15,CYCLICALS,APPARELRETAIL,25.15,693.82,7.77,-22.78,-4.15,-0.07,1.91,1.43,12.3,,-0.38,6.17,5.56,1.56,10.3,0.54
377,SDC:USA 3M 1Y 3YSDC:USA3M1Y3Y Customize...,SmileDirectClub Inc,1.03,HEALTHCARE,MEDDEVICESOTHER,1.03,124.05,57.0,-88.73,-23.7,-3.2,-17.64,0.0,,,,,,2.63,,0.68
378,SDGR:USA 3M 1Y 3YSDGR:USA3M1Y3Y Customize...,Schrodinger Inc,25.09,HEALTHCARE,HCARESUPPORT,25.09,1784.82,13.86,-66.57,1.5,0.07,7.56,0.0,,,,,,3.36,,11.54
379,SEAS:USA 3M 1Y 3YSEAS:USA3M1Y3Y Customize...,SeaWorld Entertainment Inc,44.03,CONSUMERSVCE,HOSPITALITY,44.03,3273.61,26.68,-18.33,-21.42,-0.05,-15.36,0.0,,,,10.13,8.78,,8.19,2.08
380,SEDG:USA 3M 1Y 3YSEDG:USA3M1Y3Y Customize...,SolarEdge Technologies Inc,275.41,TECH,COMPONENTS,275.41,15253.9,19.18,6.5,9.21,-1.26,15.27,0.0,88.97,1.32,59.38,61.49,35.69,7.71,,7.01
381,SEE:USA 3M 1Y 3YSEE:USA3M1Y3Y Customize...,Sealed Air Corp,56.24,MATERIALS,PACKAGING,56.24,8215.68,16.56,-3.85,-5.97,0.97,0.09,1.42,18.63,1.54,6.75,13.54,12.33,44.16,26.18,1.48
382,SEIC:USA 3M 1Y 3YSEIC:USA3M1Y3Y Customize...,SEI Investments Co,52.11,FINANCIAL,INVESTSVCE,52.11,7150.48,15.39,-15.52,-5.53,5.55,0.53,1.54,19.33,1.18,-4.28,12.87,13.19,3.69,12.31,3.56
383,SEM:USA 3M 1Y 3YSEM:USA3M1Y3Y Customize...,Select Medical Holdings Corp,22.86,HEALTHCARE,PATIENTCARE,22.86,3012.25,17.92,-45.56,-4.67,-2.69,1.39,2.19,15.82,0.67,7.65,10.29,7.85,2.59,,0.47
384,SF:USA 3M 1Y 3YSF:USA3M1Y3Y Customize...,Stifel Financial Corp.,56.23,FINANCIAL,INVESTSVCE,56.23,5995.56,13.23,-9.6,-5.88,5.55,0.18,2.13,14.14,,3.34,7.82,6.44,1.52,11.9,1.4
385,SFBS:USA 3M 1Y 3YSFBS:USA3M1Y3Y Customize...,ServisFirst Bancshares Inc,75.34,FINANCIAL,BANKSUSA,75.34,4089.62,4.12,11.83,-4.18,4.64,1.88,1.22,18.44,,59.68,16.75,14.92,3.5,19.9,8.88
386,SFIX:USA 3M 1Y 3YSFIX:USA3M1Y3Y Customize...,Stitch Fix Inc,6.08,CYCLICALS,APPARELRETAIL,6.08,657.68,73.19,-90.09,-26.12,-0.07,-20.06,0.0,,,,,,1.7,10.48,0.31
387,SFL:USA 3M 1Y 3YSFL:USA3M1Y3Y Customize...,SFL Corp Ltd,9.02,INDUSTRIAL,TRAINTRUCK,9.02,1143.61,21.81,11.22,-19.46,-2.27,-13.4,9.76,,,,10.11,9.87,1.13,,2.05
388,SFM:USA 3M 1Y 3YSFM:USA3M1Y3Y Customize...,Sprouts Farmers Market Inc,24.94,NONCYCLICAL,FOODDRINKRETAIL,24.94,2749.47,39.89,-11.34,8.48,-0.8,14.54,0.0,10.97,1.1,13.7,11.69,11.06,2.76,6.59,0.45
389,SFNC:USA 3M 1Y 3YSFNC:USA3M1Y3Y Customize...,Simmons First National Corp,21.3,FINANCIAL,BANKSUSA,21.3,2396.37,18.94,-28.36,-12.63,4.64,-6.57,3.57,13.21,,19.84,9.54,8.73,0.81,,2.83
390,SGH:USA 3M 1Y 3YSGH:USA3M1Y3Y Customize...,SMART Global Holdings Inc,19.78,TECH,COMPONENTS,19.78,983.72,13.47,-9.72,-15.29,-1.26,-9.23,0.0,81.66,0.45,,5.59,5.41,3.27,8.96,0.62
391,SGRY:USA 3M 1Y 3YSGRY:USA3M1Y3Y Customize...,Surgery Partners Inc,28.42,HEALTHCARE,PATIENTCARE,28.42,2555.1,11.01,-57.23,-26.73,-2.69,-20.67,0.0,,,,105.1,43.96,2.21,46.31,1.11
392,SHAK:USA 3M 1Y 3YSHAK:USA3M1Y3Y Customize...,Shake Shack Inc,39.52,CONSUMERSVCE,HOSPITALITY,39.52,1549.91,18.58,-58.27,-8.45,-0.05,-2.4,0.0,,,,,240.12,3.87,,1.96
393,SHC:USA 3M 1Y 3YSHC:USA3M1Y3Y Customize...,Sotera Health Co,18.92,HEALTHCARE,HCAREOUTSOURCE,18.92,5353.04,17.44,-19.11,-4.25,1.4,1.81,0.0,,1.05,,19.6,16.85,8.25,34.12,5.54
394,SHEN:USA 3M 1Y 3YSHEN:USA3M1Y3Y Customize...,Shenandoah Telecommunications Co,23.54,TELECOM,TELECOMWIRE,23.54,1178.15,5.04,-51.85,9.49,0.21,15.55,0.3,14.34,,0.07,470.8,294.25,1.83,,4.72
395,SHO:USA 3M 1Y 3YSHO:USA3M1Y3Y Customize...,Sunstone Hotel Investors Inc,9.94,FINANCIAL,REIT,9.94,2143.74,73.53,-23.89,-13.86,-1.94,-7.81,0.0,,0.66,,43.91,27.26,1.15,,3.43
